analysis_set,station_id,balanced_per_condition,metric,metric_label,effect_scale,ce_value,comparison_value,effect
primary_frontloaded,ST09,4,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.5,0.0,0.5
primary_frontloaded,ST09,4,duration_min,Median observed trajectory minutes,median_ratio,23.529466666666664,4.660541666666667,5.048654931025542
primary_frontloaded,ST09,4,completed_substantive_actions,Median completed substantive actions,median_ratio,6.0,4.0,1.5
primary_frontloaded,ST09,4,min_per_action,Median minutes per completed substantive action,median_ratio,3.392973958333333,0.6484875,5.232134710897794
primary_frontloaded,ST10,129,verification_successful,Completed-successful verification call,risk_difference,0.43410852713178294,0.5348837209302325,-0.10077519379844957
primary_frontloaded,ST10,129,audit_signal,Audit-stage prompt signal,risk_difference,0.15503875968992248,0.03875968992248062,0.11627906976744186
primary_frontloaded,ST10,129,remediation_signal,Remediation-stage prompt signal,risk_difference,0.4186046511627907,0.08527131782945736,0.33333333333333337
primary_frontloaded,ST10,129,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.09302325581395349,0.03875968992248062,0.05426356589147287
primary_frontloaded,ST10,129,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.6124031007751938,0.05426356589147287,0.5581395348837209
primary_frontloaded,ST10,129,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.627906976744186,0.046511627906976744,0.5813953488372093
primary_frontloaded,ST10,129,duration_min,Median observed trajectory minutes,median_ratio,36.2864,4.651866666666667,7.800395540141592
primary_frontloaded,ST10,129,completed_substantive_actions,Median completed substantive actions,median_ratio,6.0,5.0,1.2
primary_frontloaded,ST10,129,min_per_action,Median minutes per completed substantive action,median_ratio,1.898796666666667,0.8666416666666666,2.1909824321855442
primary_frontloaded,ST11,5,verification_successful,Completed-successful verification call,risk_difference,0.2,0.0,0.2
primary_frontloaded,ST11,5,audit_signal,Audit-stage prompt signal,risk_difference,0.8,0.0,0.8
primary_frontloaded,ST11,5,remediation_signal,Remediation-stage prompt signal,risk_difference,0.2,0.0,0.2
primary_frontloaded,ST11,5,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.2,0.0,0.2
primary_frontloaded,ST11,5,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.6,0.0,0.6
primary_frontloaded,ST11,5,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.6,0.0,0.6
primary_frontloaded,ST11,5,duration_min,Median observed trajectory minutes,median_ratio,8.550483333333334,1.2118333333333333,7.055824508320727
primary_frontloaded,ST11,5,completed_substantive_actions,Median completed substantive actions,median_ratio,8.0,2.0,4.0
primary_frontloaded,ST11,5,min_per_action,Median minutes per completed substantive action,median_ratio,0.9075733333333333,0.5004166666666666,1.8136353039134057
primary_frontloaded,ST13,97,verification_successful,Completed-successful verification call,risk_difference,0.32989690721649484,0.1958762886597938,0.13402061855670103
primary_frontloaded,ST13,97,audit_signal,Audit-stage prompt signal,risk_difference,0.5979381443298969,0.10309278350515463,0.4948453608247423
primary_frontloaded,ST13,97,remediation_signal,Remediation-stage prompt signal,risk_difference,0.4536082474226804,0.061855670103092786,0.3917525773195876
primary_frontloaded,ST13,97,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.23711340206185566,0.010309278350515464,0.2268041237113402
primary_frontloaded,ST13,97,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.8247422680412371,0.08247422680412371,0.7422680412371133
primary_frontloaded,ST13,97,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.36082474226804123,0.061855670103092786,0.29896907216494845
primary_frontloaded,ST13,97,duration_min,Median observed trajectory minutes,median_ratio,4.930350000000001,4.114833333333333,1.1981894770950627
primary_frontloaded,ST13,97,completed_substantive_actions,Median completed substantive actions,median_ratio,6.0,7.0,0.8571428571428571
primary_frontloaded,ST13,97,min_per_action,Median minutes per completed substantive action,median_ratio,0.22929999999999998,0.5858208333333333,0.3914166020612104
